id,city,population,area,district,latitude,longitude
278,Náměšť nad Oslavou,4871,18,okres Třebíč,49.20930535,16.158590934775464
279,Habartov,4846,21,okres Sokolov,50.1826873,12.5502631
280,Heřmanův Městec,4835,14,okres Chrudim,49.9470444,15.6646587
281,Protivín,4830,61,okres Písek,49.2000186,14.2159645
282,Meziboří,4810,14,okres Most,50.6214996,13.6000332
283,Vizovice,4800,28,okres Zlín,49.2231391,17.8545076
284,Kynšperk nad Ohří,4789,23,okres Sokolov,50.1182943,12.531107
285,Bělá pod Bezdězem,4786,63,okres Mladá Boleslav,50.5014795,14.8041263
286,Unhošť,4779,17,okres Kladno,50.08499,14.1318613
287,Jílové u Prahy,4770,16,okres Praha-západ,49.8952972,14.4933502
288,Pečky,4769,10,okres Kolín,50.0898509,15.0291945
289,Pacov,4758,35,okres Pelhřimov,49.4707194,15.0036121
290,Osek,4757,42,okres Teplice,49.3183008,13.9631874
291,Zruč nad Sázavou,4750,16,okres Kutná Hora,49.740296,15.106074
292,Postoloprty,4716,46,okres Louny,50.3600554,13.7028467
293,Oslavany,4693,18,okres Brno-venkov,49.1236142,16.3364832
294,Votice,4587,36,okres Benešov,49.6403939,14.6380296
295,Vracov,4557,44,okres Hodonín,48.9753927,17.2106987
296,Vamberk,4532,21,okres Rychnov nad Kněžnou,50.1179339,16.2903737
297,Adamov,4517,3,okres Blansko,49.300901,16.6544811
298,Cvikov,4484,45,okres Česká Lípa,50.7888261,14.63051419446263
299,Klimkovice,4468,14,okres Ostrava-město,49.7884424,18.1254099
300,Bystřice,4422,63,okres Benešov,49.6363495,18.7204916
301,Lišov,4405,93,okres České Budějovice,49.0158765,14.6083357
302,Bojkovice,4395,41,okres Uherské Hradiště,49.0389132,17.8148347
303,Chlumec,4380,12,okres Ústí nad Labem,48.8710287,14.3952883
304,Rožmitál pod Třemšínem,4375,52,okres Příbram,49.602176,13.863958
305,Bzenec,4361,40,okres Hodonín,48.9736321,17.2668112
306,Hostinné,4361,8,okres Trutnov,50.5409308,15.723285
307,Hluk,4340,28,okres Uherské Hradiště,48.988328,17.5268918
308,Bor,4306,116,okres Tachov,49.7113567,12.7753178
309,Kostelec nad Labem,4281,15,okres Mělník,50.226532,14.5855201
310,Uherský Ostroh,4267,26,okres Uherské Hradiště,48.985558,17.3898443
311,Horní Bříza,4213,14,okres Plzeň-sever,49.8457407,13.3655365
312,Králíky,4196,52,okres Ústí nad Orlicí,50.0842625,16.7603582
313,Slatiňany,4187,15,okres Chrudim,49.9212452,15.8132542
314,Zdice,4179,13,okres Beroun,49.9119542,13.9779864
315,Borovany,4173,42,okres České Budějovice,48.8998724,14.6419628
316,Jaroměřice nad Rokytnou,4163,51,okres Třebíč,49.0943503,15.8932579
317,Nová Role,4161,13,okres Karlovy Vary,50.2709162,12.7842174
318,Blovice,4140,28,okres Plzeň-jih,49.5821789,13.5403535
319,Planá nad Lužnicí,4132,21,okres Tábor,49.3549293,14.7012325
320,Police nad Metují,4086,24,okres Náchod,50.5368703,16.2335044
321,Dolní Benešov,4043,14,okres Opava,49.9210128,18.1083515
322,Brušperk,4024,10,okres Frýdek-Místek,49.7003751,18.2216061
323,Přibyslav,4012,35,okres Havlíčkův Brod,49.5768385,15.7385463
324,Jemnice,4001,32,okres Třebíč,49.0192524,15.5698865
