id,city,population,area,district
290,Osek,4757,42,okres Teplice
291,Zruč nad Sázavou,4750,16,okres Kutná Hora
292,Postoloprty,4716,46,okres Louny
293,Oslavany,4693,18,okres Brno-venkov
294,Votice,4587,36,okres Benešov
295,Vracov,4557,44,okres Hodonín
296,Vamberk,4532,21,okres Rychnov nad Kněžnou
297,Adamov,4517,3,okres Blansko
298,Cvikov,4484,45,okres Česká Lípa
299,Klimkovice,4468,14,okres Ostrava-město
300,Bystřice,4422,63,okres Benešov
301,Lišov,4405,93,okres České Budějovice
302,Bojkovice,4395,41,okres Uherské Hradiště
303,Chlumec,4380,12,okres Ústí nad Labem
304,Rožmitál pod Třemšínem,4375,52,okres Příbram
305,Bzenec,4361,40,okres Hodonín
306,Hostinné,4361,8,okres Trutnov
307,Hluk,4340,28,okres Uherské Hradiště
308,Bor,4306,116,okres Tachov
309,Kostelec nad Labem,4281,15,okres Mělník
310,Uherský Ostroh,4267,26,okres Uherské Hradiště
311,Horní Bříza,4213,14,okres Plzeň-sever
312,Králíky,4196,52,okres Ústí nad Orlicí
313,Slatiňany,4187,15,okres Chrudim
314,Zdice,4179,13,okres Beroun
315,Borovany,4173,42,okres České Budějovice
316,Jaroměřice nad Rokytnou,4163,51,okres Třebíč
317,Nová Role,4161,13,okres Karlovy Vary
318,Blovice,4140,28,okres Plzeň-jih
319,Planá nad Lužnicí,4132,21,okres Tábor
320,Police nad Metují,4086,24,okres Náchod
321,Dolní Benešov,4043,14,okres Opava
322,Brušperk,4024,10,okres Frýdek-Místek
323,Přibyslav,4012,35,okres Havlíčkův Brod
324,Jemnice,4001,32,okres Třebíč
325,Stráž pod Ralskem,3977,21,okres Česká Lípa
326,Sezemice,3945,22,okres Pardubice
327,Kamenický Šenov,3919,10,okres Česká Lípa
328,Velké Bílovice,3907,25,okres Břeclav
329,Velešín,3899,13,okres Český Krumlov
330,Paskov,3890,11,okres Frýdek-Místek
331,Větřní,3882,27,okres Český Krumlov
332,Mnichovice,3861,8,okres Praha-východ
333,Rajhrad,3852,9,okres Brno-venkov
334,Židlochovice,3826,5,okres Brno-venkov
335,Zlaté Hory,3796,85,okres Jeseník
336,Zbýšov,3784,6,okres Brno-venkov
337,Volary,3780,107,okres Prachatice
338,Kamenice nad Lipou,3766,31,okres Pelhřimov
339,Brtnice,3758,74,okres Jihlava
340,Smržovka,3751,14,okres Jablonec nad Nisou
341,Rájec-Jestřebí,3737,15,okres Blansko
342,Lanžhot,3733,54,okres Břeclav
343,Nepomuk,3732,12,okres Plzeň-jih
344,Kostelec nad Černými lesy,3723,17,okres Praha-východ
345,Sázava,3720,20,okres Benešov
346,Benešov nad Ploučnicí,3716,9,okres Děčín
347,Toužim,3705,98,okres Karlovy Vary
348,Lom,3700,16,okres Most
349,Fryšták,3697,24,okres Zlín
350,Velké Opatovice,3685,25,okres Blansko
351,Dobřichovice,3675,10,okres Praha-západ
352,Nové Město pod Smrkem,3674,28,okres Liberec
353,Lázně Bělohrad,3665,28,okres Jičín
354,Jiříkov,3640,13,okres Děčín
355,Jablonné v Podještědí,3622,57,okres Liberec
356,Stod,3589,20,okres Plzeň-jih
357,Klecany,3589,10,okres Praha-východ
358,Zliv,3569,14,okres České Budějovice
359,Valtice,3557,47,okres Břeclav
360,Město Albrechtice,3529,65,okres Bruntál
361,Lázně Bohdaneč,3525,21,okres Pardubice
362,Březnice,3523,19,okres Příbram
363,Suchdol nad Lužnicí,3522,63,okres Jindřichův Hradec
364,České Velenice,3521,12,okres Jindřichův Hradec
365,Kralovice,3504,39,okres Plzeň-sever
366,Řevnice,3498,10,okres Praha-západ
367,Libochovice,3496,15,okres Litoměřice
368,Buštěhrad,3464,7,okres Kladno
369,Krásná Lípa,3453,31,okres Děčín
370,Štramberk,3438,9,okres Nový Jičín
371,Dobrovice,3394,24,okres Mladá Boleslav
372,Velká Bystřice,3384,9,okres Olomouc
373,Libčice nad Vltavou,3383,7,okres Praha-západ
374,Újezd u Brna,3368,13,okres Brno-venkov
375,Libušín,3346,9,okres Kladno
376,Trmice,3332,6,okres Ústí nad Labem
377,Hrušovany nad Jevišovkou,3330,25,okres Znojmo
378,Staňkov,3317,20,okres Domažlice
379,Nová Bystřice,3281,81,okres Jindřichův Hradec
380,Veverská Bítýška,3270,13,okres Brno-venkov
381,Sadská,3234,16,okres Nymburk
382,Jablonné nad Orlicí,3189,4,okres Ústí nad Orlicí
383,Hanušovice,3169,36,okres Šumperk
384,Košťany,3166,24,okres Teplice
385,Opočno,3136,14,okres Rychnov nad Kněžnou
386,Žacléř,3134,21,okres Trutnov
387,Břidličná,3129,25,okres Bruntál
388,Uhlířské Janovice,3126,25,okres Kutná Hora
389,Velké Pavlovice,3119,23,okres Břeclav
390,Ždírec nad Doubravou,3104,26,okres Havlíčkův Brod
391,Chrast,3098,17,okres Chrudim
392,Desná,3086,12,okres Jablonec nad Nisou
393,Kaznějov,3075,12,okres Plzeň-sever
394,Třemošnice,3065,19,okres Chrudim
395,Loket,3055,26,okres Sokolov
396,Velvary,3044,18,okres Kladno
397,Volyně,3023,20,okres Strakonice
398,Podivín,3011,17,okres Břeclav
399,Rotava,2999,12,okres Sokolov
400,Rtyně v Podkrkonoší,2997,13,okres Trutnov
401,Slušovice,2980,7,okres Zlín
402,Loštice,2979,11,okres Šumperk
403,Chvaletice,2971,8,okres Pardubice
404,Moravský Beroun,2957,51,okres Olomouc
405,Kostelec na Hané,2951,13,okres Prostějov
406,Teplá,2946,113,okres Cheb
407,Miroslav,2945,26,okres Znojmo
408,Hodkovice nad Mohelkou,2944,13,okres Liberec
409,Ivanovice na Hané,2942,21,okres Vyškov
410,Morkovice-Slížany,2924,21,okres Kroměříž
411,Terezín,2924,13,okres Litoměřice
412,Žirovnice,2921,44,okres Pelhřimov
